alpha,chi2
1.148749e+00,9.961253e+01
1.149149e+00,9.965075e+01
1.149550e+00,9.968890e+01
1.149950e+00,9.972696e+01
1.150350e+00,9.976493e+01
1.150751e+00,9.980283e+01
1.151151e+00,9.984064e+01
1.151552e+00,9.987837e+01
1.151952e+00,9.991601e+01
1.152352e+00,9.995357e+01
1.152753e+00,9.999104e+01
1.153153e+00,1.000284e+02
1.153554e+00,1.000657e+02
1.153954e+00,1.001029e+02
1.154354e+00,1.001401e+02
1.154755e+00,1.001771e+02
1.155155e+00,1.002140e+02
1.155556e+00,1.002509e+02
1.155956e+00,1.002877e+02
1.156356e+00,1.003243e+02
1.156757e+00,1.003609e+02
1.157157e+00,1.003974e+02
1.157558e+00,1.004338e+02
1.157958e+00,1.004701e+02
1.158358e+00,1.005063e+02
1.158759e+00,1.005424e+02
1.159159e+00,1.005784e+02
1.159560e+00,1.006143e+02
1.159960e+00,1.006502e+02
1.160360e+00,1.006859e+02
1.160761e+00,1.007215e+02
1.161161e+00,1.007571e+02
1.161562e+00,1.007925e+02
1.161962e+00,1.008278e+02
1.162362e+00,1.008631e+02
1.162763e+00,1.008982e+02
1.163163e+00,1.009332e+02
1.163564e+00,1.009682e+02
1.163964e+00,1.010030e+02
1.164364e+00,1.010378e+02
1.164765e+00,1.010724e+02
1.165165e+00,1.011069e+02
1.165566e+00,1.011413e+02
1.165966e+00,1.011757e+02
1.166366e+00,1.012099e+02
1.166767e+00,1.012440e+02
1.167167e+00,1.012780e+02
1.167568e+00,1.013120e+02
1.167968e+00,1.013458e+02
1.168368e+00,1.013795e+02
1.168769e+00,1.014131e+02
1.169169e+00,1.014466e+02
1.169570e+00,1.014800e+02
1.169970e+00,1.015133e+02
1.170370e+00,1.015464e+02
1.170771e+00,1.015795e+02
1.171171e+00,1.016125e+02
1.171572e+00,1.016454e+02
1.171972e+00,1.016781e+02
1.172372e+00,1.017108e+02
1.172773e+00,1.017433e+02
1.173173e+00,1.017757e+02
1.173574e+00,1.018081e+02
1.173974e+00,1.018403e+02
1.174374e+00,1.018724e+02
1.174775e+00,1.019044e+02
1.175175e+00,1.019363e+02
1.175576e+00,1.019681e+02
1.175976e+00,1.019997e+02
1.176376e+00,1.020313e+02
1.176777e+00,1.020627e+02
1.177177e+00,1.020941e+02
1.177578e+00,1.021253e+02
1.177978e+00,1.021564e+02
1.178378e+00,1.021874e+02
1.178779e+00,1.022183e+02
1.179179e+00,1.022491e+02
1.179580e+00,1.022797e+02
1.179980e+00,1.023103e+02
1.180380e+00,1.023407e+02
1.180781e+00,1.023710e+02
1.181181e+00,1.024012e+02
1.181582e+00,1.024313e+02
1.181982e+00,1.024613e+02
1.182382e+00,1.024911e+02
1.182783e+00,1.025208e+02
1.183183e+00,1.025505e+02
1.183584e+00,1.025800e+02
1.183984e+00,1.026093e+02
1.184384e+00,1.026386e+02
1.184785e+00,1.026677e+02
1.185185e+00,1.026967e+02
1.185586e+00,1.027256e+02
1.185986e+00,1.027544e+02
1.186386e+00,1.027831e+02
1.186787e+00,1.028116e+02
1.187187e+00,1.028400e+02
1.187588e+00,1.028683e+02
1.187988e+00,1.028965e+02
1.188388e+00,1.029245e+02
1.188789e+00,1.029524e+02
1.189189e+00,1.029802e+02
1.189590e+00,1.030079e+02
1.189990e+00,1.030355e+02
1.190390e+00,1.030629e+02
1.190791e+00,1.030902e+02
1.191191e+00,1.031174e+02
1.191592e+00,1.031444e+02
1.191992e+00,1.031714e+02
1.192392e+00,1.031982e+02
1.192793e+00,1.032248e+02
1.193193e+00,1.032514e+02
1.193594e+00,1.032778e+02
1.193994e+00,1.033041e+02
1.194394e+00,1.033303e+02
1.194795e+00,1.033563e+02
1.195195e+00,1.033822e+02
1.195596e+00,1.034080e+02
1.195996e+00,1.034337e+02
1.196396e+00,1.034592e+02
1.196797e+00,1.034846e+02
1.197197e+00,1.035099e+02
1.197598e+00,1.035351e+02
1.197998e+00,1.035601e+02
1.198398e+00,1.035850e+02
1.198799e+00,1.036098e+02
1.199199e+00,1.036344e+02
1.199600e+00,1.036589e+02
1.200000e+00,1.036833e+02
