alpha,chi2
8.796797e-01,9.769047e+01
8.800801e-01,9.760973e+01
8.804805e-01,9.752907e+01
8.808809e-01,9.744850e+01
8.812813e-01,9.736802e+01
8.816817e-01,9.728763e+01
8.820821e-01,9.720733e+01
8.824825e-01,9.712713e+01
8.828829e-01,9.704703e+01
8.832833e-01,9.696704e+01
8.836837e-01,9.688715e+01
8.840841e-01,9.680737e+01
8.844845e-01,9.672771e+01
8.848849e-01,9.664817e+01
8.852853e-01,9.656874e+01
8.856857e-01,9.648944e+01
8.860861e-01,9.641026e+01
8.864865e-01,9.633122e+01
8.868869e-01,9.625230e+01
8.872873e-01,9.617352e+01
8.876877e-01,9.609487e+01
8.880881e-01,9.601636e+01
8.884885e-01,9.593799e+01
8.888889e-01,9.585977e+01
8.892893e-01,9.578169e+01
8.896897e-01,9.570376e+01
8.900901e-01,9.562599e+01
8.904905e-01,9.554837e+01
8.908909e-01,9.547090e+01
8.912913e-01,9.539360e+01
8.916917e-01,9.531646e+01
8.920921e-01,9.523948e+01
8.924925e-01,9.516267e+01
8.928929e-01,9.508603e+01
8.932933e-01,9.500957e+01
8.936937e-01,9.493328e+01
8.940941e-01,9.485717e+01
8.944945e-01,9.478125e+01
8.948949e-01,9.470551e+01
8.952953e-01,9.462996e+01
8.956957e-01,9.455461e+01
8.960961e-01,9.447945e+01
8.964965e-01,9.440449e+01
8.968969e-01,9.432973e+01
8.972973e-01,9.425518e+01
8.976977e-01,9.418084e+01
8.980981e-01,9.410671e+01
8.984985e-01,9.403279e+01
8.988989e-01,9.395910e+01
8.992993e-01,9.388562e+01
8.996997e-01,9.381236e+01
9.001001e-01,9.373934e+01
9.005005e-01,9.366654e+01
9.009009e-01,9.359397e+01
9.013013e-01,9.352163e+01
9.017017e-01,9.344953e+01
9.021021e-01,9.337768e+01
9.025025e-01,9.330606e+01
9.029029e-01,9.323469e+01
9.033033e-01,9.316357e+01
9.037037e-01,9.309270e+01
9.041041e-01,9.302209e+01
9.045045e-01,9.295173e+01
9.049049e-01,9.288163e+01
9.053053e-01,9.281180e+01
9.057057e-01,9.274222e+01
9.061061e-01,9.267292e+01
9.065065e-01,9.260388e+01
9.069069e-01,9.253512e+01
9.073073e-01,9.246663e+01
9.077077e-01,9.239842e+01
9.081081e-01,9.233049e+01
9.085085e-01,9.226284e+01
9.089089e-01,9.219547e+01
9.093093e-01,9.212838e+01
9.097097e-01,9.206158e+01
9.101101e-01,9.199507e+01
9.105105e-01,9.192884e+01
9.109109e-01,9.186291e+01
9.113113e-01,9.179728e+01
9.117117e-01,9.173194e+01
9.121121e-01,9.166689e+01
9.125125e-01,9.160215e+01
9.129129e-01,9.153772e+01
9.133133e-01,9.147358e+01
9.137137e-01,9.140976e+01
9.141141e-01,9.134624e+01
9.145145e-01,9.128303e+01
9.149149e-01,9.122014e+01
9.153153e-01,9.115756e+01
9.157157e-01,9.109529e+01
9.161161e-01,9.103335e+01
9.165165e-01,9.097173e+01
9.169169e-01,9.091043e+01
9.173173e-01,9.084945e+01
9.177177e-01,9.078880e+01
9.181181e-01,9.072848e+01
9.185185e-01,9.066849e+01
9.189189e-01,9.060883e+01
9.193193e-01,9.054951e+01
9.197197e-01,9.049053e+01
9.201201e-01,9.043188e+01
9.205205e-01,9.037358e+01
9.209209e-01,9.031561e+01
9.213213e-01,9.025800e+01
9.217217e-01,9.020072e+01
9.221221e-01,9.014380e+01
9.225225e-01,9.008723e+01
9.229229e-01,9.003100e+01
9.233233e-01,8.997513e+01
9.237237e-01,8.991961e+01
9.241241e-01,8.986445e+01
9.245245e-01,8.980964e+01
9.249249e-01,8.975519e+01
9.253253e-01,8.970110e+01
9.257257e-01,8.964736e+01
9.261261e-01,8.959399e+01
9.265265e-01,8.954099e+01
9.269269e-01,8.948834e+01
9.273273e-01,8.943607e+01
9.277277e-01,8.938416e+01
9.281281e-01,8.933261e+01
9.285285e-01,8.928144e+01
9.289289e-01,8.923064e+01
9.293293e-01,8.918021e+01
9.297297e-01,8.913015e+01
9.301301e-01,8.908047e+01
9.305305e-01,8.903117e+01
9.309309e-01,8.898224e+01
9.313313e-01,8.893368e+01
9.317317e-01,8.888551e+01
9.321321e-01,8.883771e+01
9.325325e-01,8.879029e+01
9.329329e-01,8.874325e+01
9.333333e-01,8.869658e+01
9.337337e-01,8.865030e+01
9.341341e-01,8.860439e+01
9.345345e-01,8.855887e+01
9.349349e-01,8.851372e+01
9.353353e-01,8.846896e+01
9.357357e-01,8.842458e+01
9.361361e-01,8.838058e+01
9.365365e-01,8.833696e+01
9.369369e-01,8.829372e+01
9.373373e-01,8.825087e+01
9.377377e-01,8.820840e+01
9.381381e-01,8.816631e+01
9.385385e-01,8.812461e+01
9.389389e-01,8.808329e+01
9.393393e-01,8.804236e+01
9.397397e-01,8.800181e+01
9.401401e-01,8.796165e+01
9.405405e-01,8.792188e+01
9.409409e-01,8.788249e+01
9.413413e-01,8.784349e+01
9.417417e-01,8.780488e+01
9.421421e-01,8.776666e+01
9.425425e-01,8.772883e+01
9.429429e-01,8.769138e+01
9.433433e-01,8.765433e+01
9.437437e-01,8.761767e+01
9.441441e-01,8.758140e+01
9.445445e-01,8.754552e+01
9.449449e-01,8.751003e+01
9.453453e-01,8.747493e+01
9.457457e-01,8.744023e+01
9.461461e-01,8.740591e+01
9.465465e-01,8.737199e+01
9.469469e-01,8.733846e+01
9.473473e-01,8.730532e+01
9.477477e-01,8.727258e+01
9.481481e-01,8.724023e+01
9.485485e-01,8.720827e+01
9.489489e-01,8.717670e+01
9.493493e-01,8.714553e+01
9.497497e-01,8.711474e+01
9.501502e-01,8.708436e+01
9.505506e-01,8.705436e+01
9.509510e-01,8.702476e+01
9.513514e-01,8.699554e+01
9.517518e-01,8.696673e+01
9.521522e-01,8.693830e+01
9.525526e-01,8.691027e+01
9.529530e-01,8.688263e+01
9.533534e-01,8.685538e+01
9.537538e-01,8.682852e+01
9.541542e-01,8.680206e+01
9.545546e-01,8.677599e+01
9.549550e-01,8.675032e+01
9.553554e-01,8.672504e+01
9.557558e-01,8.670015e+01
9.561562e-01,8.667565e+01
9.565566e-01,8.665154e+01
9.569570e-01,8.662783e+01
9.573574e-01,8.660450e+01
9.577578e-01,8.658157e+01
9.581582e-01,8.655902e+01
9.585586e-01,8.653687e+01
9.589590e-01,8.651510e+01
9.593594e-01,8.649372e+01
